fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2023-2024,March,18,MAHARASHTRA,1804,RATNAGIRI,534483,298.402239083702,26,175,889.311887221001,10979,3,26164,667992,39773,9002,6385,1288,99.67574,2982.290712121,25569,39004,61428,139403,748,253496,470676,37143,1993.3030849,294578,95,77.91,0.23,101.27,
2023-2024,March,18,MAHARASHTRA,1807,DHULE,1329507,311.223188844817,32,127,972.533048483,9488,12,24623,1472320,84880,16443,311533,81175,110.31139,5665.045692483,44928,74798,95083,264069,3401,435879,917835,34111,4582.201254,652772,89,38.99,0.64,101.57,
2023-2024,March,18,MAHARASHTRA,1809,AHMEDNAGAR,2247080,321.932568627483,32,156,2673.193741766,17526,5,38152,2413654,180132,35684,119955,27709,274.29449,10717.826551746,73673,122687,157873,452562,6531,765002,1892397,55678,7770.33831998,1156141,87,73.65,0.34,105.05,
2023-2024,March,18,MAHARASHTRA,1817,PARBHANI,4450591,322.118342681285,48,208,2560.458413138,3514,26,34144,4913376,244918,20749,27528,2786,417.39602,18804.739774038,100992,164861,133334,302926,17702,407083,790191,37658,15826.8853409,2359355,90,71.63,0.06,114.13,
2023-2024,March,18,MAHARASHTRA,1820,Dharashiv,1605784,303.088947977186,46,172,2191.41680047,2872,27,23107,1956507,152994,25278,8974,1078,204.00829,8325.38157387,42232,66290,71568,189106,6580,321369,700212,25979,5929.9564834,818911,82,61.24,0.33,100.57,
2023-2024,March,18,MAHARASHTRA,1826,WARDHA,901500,323.642540683726,39,186,1338.845957449,3912,5,10977,1008327,123343,16457,101178,13418,153.04813,4755.269208649,25245,42224,50862,124030,2449,215839,396224,14889,3263.3751212,419399,88,73.33,0.41,103.04,
2023-2024,March,18,MAHARASHTRA,1827,NAGPUR,1397427,298.185504838196,36,351,3109.12228257,7146,24,16715,1632840,247768,34321,234301,30905,204.32532,8182.33979977,45308,66218,103330,237378,3898,276034,531919,23861,4868.8921972,749333,84,59.43,3.36,103.63,
2023-2024,March,18,MAHARASHTRA,1832,WASHIM,953908,287.610332420504,31,326,638.219469952,2407,3,19631,1480745,131933,17810,48256,6023,119.19847,5016.19355675199,46657,72805,67466,161605,2266,272240,541402,22038,4258.7756168,601611,88,57.56,19.05,100.35,
2023-2024,May,18,MAHARASHTRA,1805,SINDHUDURG,79718,189.127508843674,13,45,16.393696692,553,70,20000,79718,2964,4123,237,334,0.0,167.162364192,5743,9355,40453,92958,8,124797,237223,20553,150.7686675,31630,67,67.38,5.33,99.98,
2023-2024,May,18,MAHARASHTRA,1815,Chatrapati Sambhaji Nagar,991921,182.34677270633,19,260,305.444632607,820,184,61149,991893,33276,27237,23794,11750,0.0,2114.129506807,49697,81455,200895,548973,228,633448,1366262,61969,1808.6848742,402141,94,65.6,1.4,100.28,
2023-2024,May,18,MAHARASHTRA,1818,BEED,699743,103.966777802708,15,77,713.300509293,114,469,50102,699743,13252,14431,1759,1729,11.55778,1452.358539293,44059,72673,215911,543950,41,609328,1291845,50216,727.50025,282944,77,58.5,6.0,116.81,
